ID,Name,Works_for,Work_History,Founder,Country,City,Gender,Main Category,Subcategory,Role,Community,PhD,PhD Type,PhD of,LinkedIn,h-index,Associated With,Other companies founded,Still_Active_in_Prev_Co,Prev. Co-founders,Senior_Role_Big_Tech,Highly_Cited_Professor,Career-long Citations,Specialisation,Other Notable Facts
P15,Alan Baratz,D-Wave Quantum,,Yes,USA,Palo Alto,Male,Quantum Compute,Hardware - Annealing / Superconducting,President & CEO of D-Wave Systems,,No,"Holds a PhD-equivalent (Doctor of Science) from the University of Massachusetts Amherst was not found. He holds a PhD-level Doctor of Science in Computer Science from UMass Amherst, but some sources classify this as a professional doctorate rather than a research-focused PhD.",University of Massachusetts,,,,No – Not a startup founder prior to D-Wave. Primarily held executive and R&D roles at major tech companies.,N/A,N/A,Yes – Former SVP at Oracle and President of JavaSoft at Sun Microsystems. Also held leadership roles at Avaya and IBM.,No – Not an academic; known for corporate leadership rather than published research.,71000,,
P16,Terry Rudolph,PsiQuantum,,Yes,UK,London,Male,Quantum Compute,Hardware - Photonic,Co-founder of PsiQuantum; Professor at Imperial College London (emeritus),,Yes,"PhD in Theoretical Quantum Optics from York University, Canada (1998).",York University,,,,No – First startup (long career as an academic at Imperial College London before co-founding PsiQuantum in 2016).,N/A.,"N/A – (No previous startup; current co-founders include O’Brien, Shadbolt, Thompson).",,Yes – Professor of Quantum Physics at Imperial College (published widely; ~1000+ citations/year).,52000,,
P17,Peter Shadbolt,PsiQuantum,,Yes,UK,London,Male,Quantum Compute,Hardware - Photonic,Co-founder & CTO of PsiQuantum,,Yes,PhD in Photonic Quantum Computing from University of Bristol (2014).,University of Bristol,,,,No – First startup (he was a postdoctoral researcher at Imperial College before PsiQuantum).,N/A.,N/A.,,No – Not a professor (was a researcher/postdoc prior to co-founding; recognized for research contributions but not faculty).,,,
P18,Mark Thompson,PsiQuantum,,Yes,USA,Palo Alto,Male,Quantum Compute,Hardware - Photonic,Co-founder & CTO of PsiQuantum,,Yes,PhD in Electrical Engineering from University of Cambridge (Master’s in Physics from University of Sheffield).,University of Cambridge,,,,No – First startup (previously a professor at Bristol and photonics industry expert).,N/A.,N/A.,"Yes – Held R&D roles in industry (e.g. Corning, Bookham, Toshiba) before academia.",Yes – Former Professor of Quantum Photonics at Bristol; published 100+ papers/patents.,134000,quantum sensing applications,Rydberg arrays
P19,Michelle Simmons,Silicon Quantum Computing,,Yes,Australia,Sydney,Female,Quantum Compute,Hardware - Silicon Spin,Founder & CEO of Silicon Quantum Computing (SQC),,Yes,"PhD in Physics from Durham University, UK (1992).",Durham University,,,,No – First startup (career academic; SQC founded in 2017 as her first company).,N/A.,"N/A – (First company; SQC’s formation was backed by UNSW, Australian government and industry partners).",,"Yes – Professor of Quantum Physics at UNSW, FRS, winner of multiple major awards (Australian of the Year 2018).",,,
P20,Alán Aspuru-Guzik,Zapata Computing,,Yes,Canada,Toronto,Male,Quantum Compute,Software / Algorithms / Platforms,Professor at Univ. of Toronto; Co-founder of Zapata AI,,Yes,"PhD in Physical Chemistry from University of California, Berkeley (2004).",University of California,,,,Yes – Serial deep-tech founder. Previous,No – He served as co-founder/Chief Visionary but primarily returned to academia; not involved in day-to-day at Kebotix,,"Yes – Zapata Computing was a Harvard University spin-out (launched 2017 from Aspuru-Guzik’s quantum computing group, with backing from Harvard’s The Engine fund).",Kebotix Co-founders – Dr. Jill S. Becker (CEO) and others,94000,,Nobel 2022
P21,Christopher Savoie,Zapata Computing,,Yes,USA,Cambridge,Male,Quantum Compute,Software / Algorithms / Platforms,Founder & CEO of Zapata AI,,No,Holds an M.D. (Doctor of Medicine from Kyushu University) and a J.D. (law) rather than a research PhD. (He is often referred to as “Dr.” due to the M.D.),Kyushu University,,,,"Yes – He is a serial entrepreneur. Before Zapata, Savoie co-founded Kyulux (OLED materials startup) in 2015, and led it as CEO.",No – Savoie left Kyulux’s leadership (after serving as founder-CEO) to start Zapata around 2017. Kyulux is now led by others.,Kyulux Co-founders – Prof. Chihaya Adachi (TADF inventor) and Junji Adachi were co-founders with Savoie.,"Yes – Prior to startups, he held senior roles in industry",No – Not an academic; known as a tech entrepreneur and industry expert (published in science but no professorship).,,,
P22,Jhonathan Romero,Zapata Computing,,Yes,Canada,Toronto,Male,Quantum Compute,Software / Algorithms / Platforms,Co-founder & CTO of Zapata AI,,Yes,PhD in Chemical Physics from Harvard University (2019).,Harvard University,,,,No – First startup (co-founded Zapata while finishing his PhD at Harvard).,N/A.,N/A.,,"No – Not a professor (early-career researcher turned entrepreneur, though has 10k+ citations as a scholar).",,,
P23,Jonathan Olson,Zapata Computing,,Yes,Canada,Toronto,Male,Quantum Compute,Software / Algorithms / Platforms,Co-founder of Zapata AI,,Yes,PhD in Physics from Louisiana State University (2016).,Louisiana State University,,,,No – First startup (ex-postdoctoral researcher at Harvard prior to Zapata).,N/A.,N/A.,,"No – Not a professor (contributed to research, now focusing on industry/patent work).",,,
P24,Peter Johnson,Zapata Computing,,Yes,USA,Cambridge,Male,Quantum Compute,Software / Algorithms / Platforms,Co-founder & Chief Science Officer of Zapata AI,,Yes,PhD in Physics (Quantum Information) from Dartmouth College (2016).,Dartmouth College,,,,No – First startup.,N/A.,N/A.,,No – Not a professor (was a postdoc/researcher; recognized in quantum software development).,,,
P25,Yudong Cao,Zapata Computing,,Yes,USA,Cambridge,Male,Quantum Compute,Software / Algorithms / Platforms,Co-founder & CTO of Zapata AI,,Yes,PhD in Computer Science from Purdue University (2016).,Purdue University,,,,No – First startup.,N/A.,N/A.,,No – Not an academic professor (background in research; moved into industry CTO role).,,,NV Center Pioneer
P26,Enrique Lizaso,Multiverse Computing,,Yes,Spain,Barcelona,Male,Quantum Compute,Software / Algorithms / Platforms,Co-founder & CEO of Multiverse Computing,,No,Not Found. (No evidence of a PhD; background is in finance/business.),,,,,No – First startup (professional career in finance before co-founding Multiverse in 2019).,N/A.,"N/A – (First company; Multiverse’s co-founders include Prof. Román Orús, etc.).",,No – Industry practitioner (financial executive) rather than academic.,,,
P27,Román Orús,Multiverse Computing,,Yes,Spain,Donostia-San Sebastián,Male,Quantum Compute,Software / Algorithms / Platforms,Co-founder & Chief Scientific Officer of Multiverse Computing,,Yes,"PhD in Physics (University of Barcelona, 2006)",University of Barcelona,,,,No – First startup (career as a theoretical physicist and research professor before Multiverse).,N/A.,N/A.,,"Yes – Renowned researcher (ICREA Prof., highly cited in quantum physics).",,Tensor network algorithms,
P28,Alfonso Rubio,Multiverse Computing,,Yes,Spain,Barcelona,Male,Quantum Compute,Software / Algorithms / Platforms,Co-founder & President of Multiverse Computing,,No,Not Found. (Likely no PhD; background appears to be in business/technology management.),,,,,Possible – Not Found in detail. (He has held leadership roles in tech companies; unclear if he founded one before Multiverse.),N/A.,N/A.,,"No – Business/operations focus, not an academic researcher.",,,D-Wave Founder
P29,Sam Mugel,Multiverse Computing,,Yes,Spain,Barcelona,Male,Quantum Compute,Software / Algorithms / Platforms,CTO of Multiverse Computing,,Yes,"PhD in Theoretical Physics (Imperial College London, 2017) (Specialized in quantum algorithms).",Imperial College London,,,,No – First startup (joined Multiverse shortly after PhD/postdoc).,N/A.,N/A.,,"No – Not a professor (early-career technologist, though with research publications).",,,
P30,Chris Ballance,Oxford Ionics,,Yes,UK,Oxford,Male,Quantum Compute,Hardware - Superconducting,Co-founder & CEO of Oxford Ionics,,Yes,D.Phil (PhD) in Atomic & Laser Physics from University of Oxford (2014).,University of Oxford,,,,No – First startup (came directly from academic research).,N/A.,N/A.,,"Yes – Highly accomplished researcher (held an Oxford fellowship, multiple Nature papers and records). Not a full professor at founding, but an academic Future Leaders Fellow.",18000,,LWE pioneer
P31,Tom Harty,Oxford Ionics,,Yes,UK,Oxford,Male,Quantum Compute,Hardware - Superconducting,Co-founder & CTO of Oxford Ionics,,Yes,D.Phil in Atomic & Laser Physics from University of Oxford (earned alongside Ballance).,University of Oxford,,,,No – First startup.,N/A.,N/A.,,No – Not a professor (was a postdoctoral researcher; recognized for technical achievements but in early career).,,,
P32,Jean-Michel Raimond,PASQAL,,Yes,France,Paris,Male,Quantum Sensing,Photonics / Imaging / Optics,"Professor of Physics, Sorbonne Univ.; CNRS Quantum Optics leader",,Yes,"PhD in Physics (Ecole Normale Supérieure, Paris, 1970s).","Ecole Normale Supérieure, Paris",,,,No – First startup involvement (legendary academic career prior; joined Pasqal in 2019 as co-founder/advisor).,"N/A (Pasqal is his first startup, and he remains an advisor).",N/A.,,"Yes – Emeritus Professor at Sorbonne Université; globally renowned physicist (pioneered cavity QED, member of the Académie des Sciences).",11000,,
P33,Ben Bloom,Atom Computing,,Yes,USA,Berkeley,Male,Quantum Compute,Hardware - Neutral Atom,,,Yes,"PhD in Physics from University of Colorado, Boulder","University of Colorado, Boulder",,,,No – First startup (founded Atom in 2018 right after his postdoc).,N/A.,N/A.,,"No – Not a professor (did groundbreaking research on atomic clocks during PhD, but moved to industry quickly).",,,Inventor of code-based crypto
P34,Jonathan King,Atom Computing,,Yes,,,Male,Quantum Compute,Software / Algorithms / Platforms,,,Yes,"PhD in Physics from University of California, Berkeley.","University of California, Berkeley",,,,No – First startup.,N/A.,N/A.,,"No – Not a professor (15+ years as a researcher, holds multiple patents, but focus is now on industrial R&D).",,,Rainbow
P35,Shimon Machluf,Quantum Machines,,Yes,Israel,rehovot,Male,Quantum Sensing,Hardware - Diamond NV,,,Yes,"PhD in Physics (Weizmann Institute of Science, Israel)",Weizmann Institute of Science,,,,No – First startup (he co-founded QM in 2018 after academic research).,N/A.,N/A.,,"No – Not a professor (strong research background, but now in industry).",,Quantum Optics,
P36,Tim Hadden,Universal Quantum,,,,,Male,Quantum Compute,Hardware - General,,,Yes,PhD in Quantum Physics from University of Sussex (2017).,University of Sussex,,,,No – First startup (founded Universal Quantum in 2018 out of doctoral research).,N/A.,N/A.,,No – Not a professor (young PhD-turn-entrepreneur).,,,
P37,Mathieu Munsch,Qnami,,Yes,Switzerland,Basel,Male,Quantum Sensing,Hardware - Diamond NV,,,Yes,"PhD in Physics (EPFL, Switzerland, 2015)",EPFL,,,,No – First startup (launched Qnami in 2017 after postdoctoral research).,N/A.,N/A.,,"No – Not a professor (entrepreneur with research credentials, but co-founder Maletinsky is a professor).",,NV-center quantum sensing,
P38,Patrick Maletinsky,Qnami,,Yes,Switzerland,Basel,Male,Quantum Sensing,Hardware - Diamond NV,,,Yes,PhD in Physics from ETH Zurich (2008).,ETH Zurich,,,,No – First startup (founded Qnami in 2017 as an extension of his lab’s work).,N/A (still scientific advisor).,N/A.,,"Yes – Professor at University of Basel, a leading researcher in quantum nanophotonics.",,,
P39,Scott Totzke,ISARA,,Yes,,,Male,Quantum Comms/Cryptography,PQC / Quantum-Safe Software,,,No,(No PhD; background in computer security and management).,,,,,No – First startup as founder (previously a senior executive in cybersecurity).,N/A.,N/A.,Yes – Former Senior Vice President of Security at BlackBerry (a major tech company in its domain) before founding ISARA.,"No – Industry executive, not an academic.",,,
P40,Xiao Ai,Qlm Technology,,Yes,Canada,Waterloo,Male,Quantum Compute,Hardware - General,,,No,"Not Found. (Likely an engineer, no public PhD noted.)",,,,,No – First startup.,N/A.,N/A.,,No.,,,
P41,Yuri Andersson,Qlm Technology,,Yes,,,Male,Quantum Compute,Hardware - General,,,No,Not Found (background in engineering/business).,,,,,"Possibly – (Has co-founded other high-tech startups, e.g., in photonics; details not public – marking as Not Found).",N/A.,N/A.,,No.,,,
P42,Robert Schoelkopf,Quantum Circuits,,Yes,USA,New Haven,Male,Quantum Compute,Hardware - Superconducting,,,Yes,PhD in Physics from Caltech (1995).,Caltech,,,,No – QCI (founded 2017) is his first startup.,N/A.,"N/A (no prior company; current co-founders include Devoret, Frunzio, Push).",,"Yes – Professor of Applied Physics at Yale; National Academy of Sciences member, highly cited for superconducting qubits.",,,
P43,Michel Devoret,Quantum Circuits,,Yes,USA,New Haven,Male,Quantum Compute,Hardware - Superconducting,,,Yes,PhD in Physics from University of Paris (1979) under Serge Haroche.,University of Paris,,,,No – First startup (decades-long academic career at Saclay and Yale before co-founding QCI).,N/A (remains scientific advisor).,N/A.,,"Yes – Yale Professor of Applied Physics; globally renowned (Franklin Medal 2020, etc.).",,,
P44,Luigi Frunzio,Quantum Circuits,,Yes,USA,New Haven,Male,Quantum Compute,Hardware - Superconducting,,,Yes,"PhD in Physics (University of Naples Federico II, Italy).",University of Naples Federico II,,,,No – First startup.,N/A.,N/A.,,"No – Not a professor (principal engineer/researcher, significant contributions to circuit QED).",,,
P45,Brian Pusch,Quantum Circuits,,Yes,,,Male,Quantum Compute,Hardware - General,,,No,(No PhD; background as an attorney and venture capitalist).,,,,,"Possibly – Not Found in detail; known as a venture investor, so likely first time as a tech startup co-founder.","Left operational role (was interim CEO, later stepped back after professional CEO was appointed).",N/A.,,No.,,,
P46,Edward Grant,Rahko,,Yes,UK,Oxford,Male,Quantum Compute,Software / Algorithms / Platforms,,,Yes,"PhD in Computer Science (University College London, 2018).",University College London,,,,No – First startup.,No – Rahko team joined Odyssey; he is no longer with Rahko (post-acquisition).,"N/A (first company; co-founded Rahko with Dr. Leonard Wossnig, Miriam Cha, Ian Horobin).",,No – Not a professor (was a student/researcher during Rahko’s founding).,,,
P47,Ian Horobin,Rahko,,Yes,UK,Oxford,Male,Quantum Compute,Hardware - General,,,No,(No PhD; background as a tech entrepreneur/executive).,,,,,Yes – A veteran entrepreneur. Previously founded Omnicision Ltd. (2006) and other ventures; brought that experience to Rahko.,No – Moved on to focus on Rahko and other roles.,"Omnicision (founded alone, 2006).",,"No – Business focus, not academia.",,,
P48,Miriam Cha,Rahko,,Yes,,,Female,Quantum Compute,Software / Algorithms / Platforms,,,No,(No PhD; background likely in business/finance).,,,,,No – First startup.,No – Rahko merged into Odyssey Therapeutics.,N/A.,,No.,,,
P49,William Hurley (Whurley),Strangeworks,,Yes,USA,Austin,Male,Quantum Compute,Software / Algorithms / Platforms,,,No,Self-taught software engineer (no formal PhD).,,,,,Yes – Serial entrepreneur. Founded Chaotic Moon Studios (acquired by Accenture in 2015) and Honest Dollar (acquired by Goldman Sachs in 2016) before Strangeworks.,No – Departed after each acquisition. Launched Strangeworks (quantum startup) in 2018.,Chaotic Moon,,No – Not an academic (focus on industry innovation and open source evangelism).,,,
P50,Justin Youens,Strangeworks,,Yes,USA,Austin,Male,Quantum Compute,Hardware - General,,,No,(No evidence of PhD; background in software/product management).,,,,,"No – First startup (worked with Whurley previously, but this is first co-founding role).",N/A.,N/A.,,No.,,,
P51,Joe Fitzsimons,Horizon Quantum,,Yes,Singapore,Singapore,Male,Quantum Compute,Software / Algorithms / Platforms,,,Yes,PhD in Physics from University of Oxford (2007).,University of Oxford,,,,No – First startup (founded Horizon in 2018 after an academic career).,N/A.,N/A (sole founder of Horizon QC).,,Yes – Former Associate Professor in Singapore; known for work in quantum computing theory.,,,
P52,Guanru Feng,SpinQ,,Yes,China,,Male,Quantum Compute,Hardware - General,,,Yes,"PhD in Quantum Physics (University of Science and Technology of China, 2010).",University of Science and Technology of China,,,,No – First startup.,N/A.,N/A.,,No – Not a professor (though has notable publications in NMR quantum information).,,,
P53,Jaume Sanpera,ID Quantique,,Yes,Spain,Barcelona,Male,Quantum Compute,Software / Algorithms / Platforms,,,No,Serial telecom entrepreneur (no PhD).,,,,,"Yes – Multiple previous startups (e.g., Eurona Telecom, Sateliot in satellite communications).",Yes – Active CEO of Sateliot (a satellite IoT startup) as of mid-2020s.,(Numerous across telecom ventures).,,No.,,,
P54,José Ramón Carrero,ID Quantique,,Yes,,,Male,Quantum Compute,Hardware - General,,,No (presumably no PhD; background not academic).,,,,,,Not Found – Insufficient info (possibly an executive or investor).,N/A.,N/A.,,No.,,,
P55,Juha Vartiainen,IQM Quantum Computers,,Yes,Finland,Espoo,Male,Quantum Compute,Hardware - Superconducting,,,Yes,"PhD in Physics (Technical University of Munich, 2014).",Technical University of Munich,,,,No – First startup.,N/A.,N/A.,,No – Not a professor (industry PhD with 10+ years in R&D).,,,
P56,Kuan Yen Tan,IQM Quantum Computers,,Yes,Finland,Espoo,Male,Quantum Compute,Hardware - General,,,Yes,"PhD in Quantum Physics (Aalto University, 2018).",Aalto University,,,,No – First startup.,N/A.,N/A.,,"No – Not a professor (though published during PhD, now in industry).",,,
P57,Mikko Möttönen,IQM Quantum Computers,,Yes,Finland,Espoo,Male,Quantum Compute,Hardware - Superconducting,,,Yes,PhD in Physics from University of Oxford (2007).,University of Oxford,,,,"Yes – Co-founded a prior startup Bold Broadband (a small telecom startup) and a photonics spin-off (Unilumin Photonics). Primarily, IQM is his first major startup.",No – Focused on IQM.,Unilumin Photonics co-founder (2016).,,"Yes – Professor of Quantum Technology at Aalto, renowned for superconducting qubit research (Academy of Finland Fellow).",,,
P58,Sunil Gupta,QNu Labs,,Yes,,,Male,Quantum Compute,Hardware - General,,,No,No PhD (background is in engineering and business).,,,,,No – First startup (30+ years industry experience before co-founding QNu in 2016).,N/A.,N/A.,"Yes – Veteran business leader (former VP/MD in tech firms, e.g., was Managing Director in a telecom MNC) before startup.","No – Industry executive, not an academic.",,,
P59,Srinivasa Rao Aluri,QNu Labs,,Yes,India,,Male,Quantum Compute,Hardware - General,,,No,No PhD (MBA and venture finance background).,,,,,Yes – Serial entrepreneur/investor. He co-founded a VC firm (Innoven Capital) and has backed multiple startups; QNu is a venture he helped start.,N/A.,"(Co-founded Peepul Capital, a PE/VC firm).",,No.,,,
P60,Mark Mathias,QNu Labs,,Yes,,,Male,Quantum Compute,Hardware - General,,,No,(No PhD; background as an engineer).,,,,,No – First startup.,N/A.,N/A.,,No.,,,
P61,Anil Prabhakar,QNu Labs,,Yes,India,Chennai,Male,Quantum Comms/Cryptography,Quantum Networks / Infrastructure,,,Yes,PhD in Electrical Engineering from Carnegie Mellon University (1997).,Carnegie Mellon University,,,,Yes – Co-founded Unilumen Photonics (a laser startup) prior to QNu.,No – Focused on QNu and academia.,"Unilumen Photonics (2015, co-founder).",,Yes – Professor at IIT Madras (leading quantum optics group).,,,
P62,Matt Johnson,QC Ware,,Yes,USA,Palo Alto,Male,Quantum Compute,Software / Algorithms / Platforms,,,No,MBA from Wharton (UPenn) and B.S. from U.S. Air Force Academy; no PhD.,"Wharton (UPenn), U.S. Air Force Academy",,,,No – First startup. (Former U.S. Air Force officer and VC investor before co-founding QC Ware in 2014).,N/A.,N/A.,,No.,,,
P63,KJ Sham,QC Ware,,Yes,,,Male,Quantum Compute,Hardware - General,,,Yes,PhD in Electrical Engineering (University of Michigan). (Also holds an MBA.),University of Michigan,,,,No – First startup.,N/A.,N/A.,,No.,,,
P64,Randall Correll,QC Ware,,Yes,,,Male,Quantum Compute,Hardware - General,,,No,(No PhD; decades of experience in aerospace engineering/management).,,,,,No – First startup.,N/A (serves on Board).,N/A.,Yes – Former aerospace/defense industry senior engineer (worked with NASA Ames team; likely ex-Lockheed or similar).,No.,,,
P65,Yehuda Naveh,Classiq,,Yes,Israel,Tel-Aviv,Male,Quantum Compute,Software / Algorithms / Platforms,,,Yes,"PhD in Theoretical Physics (Technion Israel Institute of Technology, 1998).",Technion Israel Institute of Technology,,,,No – First startup (spent career in research at Technion and IBM Research before Classiq).,N/A.,N/A.,Yes – Veteran of IBM Research (quantum computing group in Haifa).,Yes – Renowned quantum computing researcher (Technion and IBM; numerous publications).,,,
P66,Amir Naveh,Classiq,,Yes,Israel,Tel-Aviv,Male,Quantum Compute,Software / Algorithms / Platforms,,,No,(No PhD; Talpiot Program graduate and IDF tech unit experience).,,,,,No – First startup.,N/A.,N/A.,,No.,,,
P67,Nir Minerbi,Classiq,,Yes,Israel,Tel-Aviv,Male,Quantum Compute,Software / Algorithms / Platforms,,,No,(No PhD; background in physics and business via IDF’s Talpiot program).,,,,,No – First startup.,N/A.,N/A.,,No.,,,
P68,Richard Murray,ORCA Computing,,Yes,UK,London,Male,Quantum Compute,Hardware - Photonic,,,Yes,PhD in Physics (University of Oxford).,University of Oxford,,,,No – First startup (previously a business development manager in quantum tech).,N/A.,N/A.,,"No – Technologist and industry strategist, not a career academic (though technically trained).",,,
P69,Ian Walmsley,ORCA Computing,,Yes,UK,London,Male,Quantum Compute,Hardware - Photonic,,,Yes,PhD in Physics from University of Rochester (1986).,University of Rochester,,,,No – First startup involvement.,N/A (advisory role).,N/A.,,"Yes – World-leading physicist (Fellow of Royal Society, >30-year academic career).",,,
