ID,Company,Timestamp Slow,Active,Country,City,Location,Private/Public,Year Founded,Main Category,Subcategory,LS Main Category,LS Subcategory,Spin-Off,Website,Quantum Adjacency Score,QA score explanation,Core Business,Investment Suitability Score,Explanation Investment Suitability Score,Description,Quantum Life Science Adjacency Score,Explanation QLSA Score,Notable Awards/Top Publications,,Accelerator Programs,Recent Press Coverage,Investors,Notable Individual Investors,Important People,Latest Investment Round,Latest Round Size ($),Total Raised (M USD),Total Raised Categorization,Open Jobs (Sep 2025),Shortlist Firgun (Affinity),Website (Affinity),Priority (Affinity),Sector (Affinity),Sub-Category (Affinity),Round Size (Affinity),Investment Round (Affinity),Funding History (Affinity),Status (Affinity),Description (Affinity),Location - address (Affinity),Location - City (Affinity),Location - State (Affinity),Location - Country (Affinity),Region (Affinity),People (Affinity),Employees (Affinity),Year Founded (Affinity),Alex List of 50 LS (pb),Life Sience? (pb),Description (Pb),Former name (pb),Also known as (pb),Legal Name (pb),Primary Industry Group (pb),Primary Industry Code (pb),Verticals (pb),Company Financing Status (pb),Total Raised (pb),Owernship Status (pb),Website (pb),LinkedIn (pb),Employees (pb),Employee History (pb),Year Founded (pb),Country (pb),Keywords (pb),Business status (pb),Revenue (pb),Gross Profit (pb),Rev Growth (%) (pb),City (pb),Financing Status Note (pb),Former Investors (pb),Primary contact (pb),Primary Contact Title (pb),Active Investors (pb),Services on a Deal (pb),First Financing Data (pb),Description (Asana),MA Category (Asana),Region (Asana),Sector (Asana),CB Insights main categorization,CB Insights sub categorization,GQI Categorization,Description (GQI),Website (GQI),Category (GQI),Annualized Revenue (USD) (Specter),Profitability (Specter),Investors (TQI),Lead Investor (TQI),Domain (Clay),Funding Stage (Clay),Latest Funding Round (Clay),Investors (Clay)
C62,BosonQ Psi,01/09/2025,Yes,India,Bangalore,,Private,2020,Quantum Compute,Hardware - General,Not Life Sciences,,,https://www.bosonqpsi.com,9,"BosonQ Psi specializes in quantum-inspired simulation technology, integrating quantum algorithms to accelerate complex engineering simulations, positioning them closely within the quantum technology sector.",Yes,7,"As a private company with a focus on quantum-inspired simulations, BosonQ Psi is well-suited for Series A investment, offering growth potential in a rapidly evolving sector.","Developer of a state-of-the-art venture intended to lead the paradigm shift in quantum computing and multiphysics simulations. The company's software utilizes multiphysics simulations to understand complex real-life and industrial processes, enabling clients to build the technical infrastructure in quantum computing for multiphysics simulations.",3,"While BosonQ Psi's technology is primarily focused on engineering simulations, its computational capabilities could be adapted for certain life sciences applications.",Winner of Griffiss Institute’s HUSTLE Defense Accelerator; Finalist in BMW’s Quantum Computing Challenge and Maruti Suzuki’s MAIL program,,HUSTLE Defense Accelerator; IBM Quantum Network; Strangeworks Quantum Syndicate,BosonQ Psi joins IBM’s Quantum Network to enhance research and proof of concept projects with quantum-powered simulations; BosonQ Psi joins Strangeworks Quantum Syndicate,Monta Vista Capital; Arka Venture Labs; Emergent Ventures; Armory Square Ventures; Alumni Ventures; Paradigm Shift Capital,Abhay Tandon; Vijay Sethi; Chandan Chowdhury; Saptroshi Hore; Neeraj Khandewal; Ankur Jain; Vijay Rajagopal; Abhishek Sureka; Shankar Rachakonda; Anand Reddy,Abhishek Chopra (Founder and CEO); Rut Lineswala (Co-Founder and CTO); Jash Minocha (Co-Founder and CBO),(Pre) Seed,5,6.00,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer of a state-of-the-art venture intended to lead the paradigm shift in quantum computing and multiphysics simulations. The company's software utilizes multiphysics simulations to understand complex real-life and industrial processes, enabling clients to build the technical infrastructure in quantum computing for multiphysics simulations.",,,,Software,Business/Productivity Software,,Venture Capital-Backed,0.47,,,,,,2020,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,bosonqpsi.com,Pre-Seed,525000,"3to1 Capital, Abhay Tandon, Vijay Sethi , Chandan Chowdhury , Saptorshi Hore, Neeraj Khandelwal, Ankur Jain, Vijay Rajagopal, Abhishek Sureka, Shankar Rachakonda ,Anand Reddy"
C63,Quantum Solutions,01/09/2025,Yes,United Kingdom,Oxford,,Private,2014,Quantum Compute,Hardware - Ion Trap,Medical Imaging,,,https://quantum-solutions.com,8,"Quantum Solutions specializes in quantum dot technology, enabling imaging systems to detect light beyond the visible spectrum, closely aligning with quantum sensing applications.",Yes,7,"As a private company with a focus on quantum dot technology, Quantum Solutions is well-positioned for Series A investment, offering innovative solutions in the quantum sensing domain.","Developer of a quantum dot platform designed to detect light beyond the visible spectrum. The company's product can be used to enhance cameras that provide superhuman vision and capture images that would be invisible to the naked eye, lower energy infrared lights or higher energy UV and X-ray lights, helping clients with improved visualization in many fields like machine vision, the automotive industry, security, and consumer electronics.",6,"While Quantum Solutions' technology is primarily focused on imaging systems, its capabilities in detecting light beyond the visible spectrum have potential applications in medical imaging and diagnostics.",N/A,,N/A,N/A,N/A,N/A,"[{'Name': 'Dr. Osman Bakr', 'Role': 'Founder/Chairman', 'LinkedIn': 'https://www.linkedin.com/in/osman-m-bakr/', 'Google Scholar': 'https://scholar.google.com/citations?user=7o1A7QQAAAAJ&hl=en'}]",(Pre) Seed,,0.48,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer of a quantum dot platform designed to detect light beyond the visible spectrum. The company's product can be used to enhance cameras that provide superhuman vision and capture images that would be invisible to the naked eye, lower energy infrared lights or higher energy UV and X-ray lights, helping clients with improved visualization in many fields like machine vision, the automotive industry, security, and consumer electronics.",,,,Semiconductors,General Purpose Semiconductors,"Artificial Intelligence & Machine Learning, Nanotechnology",Venture Capital-Backed,0.48,,,,,,2014,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,512300,-1100000,,,quantum-solutions.com,Seed,250000,KAUST Innovation Fund
C64,Jumpedal,01/09/2025,Yes,United States,Palm Beach Gardens,,Private,2010,Quantum Compute,Hardware - General,Not Life Sciences,,,https://www.jumpedal.com,8,"Jumpedal operates in the quantum computing sector, focusing on quantum computer science research and development for advanced digital compression processes, indicating a high relevance to quantum technology.",Yes,7,"Jumpedal is a private company specializing in quantum computing and digital compression technologies, making it a suitable candidate for a Quantum VC focused on Series A investments.","Operator of the quantum computer science research and development intended for advanced digital compression processes. The company develops & markets digital network appliances & services that improve network bandwidths and empower the distribution of information resources, enabling customers with the highest quality, lowest cost network services.",3,"While Jumpedal's primary focus is on quantum computing and digital compression, their technologies could potentially be applied in life sciences, particularly in areas requiring secure data transmission and storage.",N/A,,N/A,N/A,N/A,N/A,"[{'Name': 'Peter St. George', 'Role': 'CEO/Chairman'}]",(Pre) Seed,,0.49,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Operator of the quantum computer science research and development intended for advanced digital compression processes. The company develops & markets digital network appliances & services that improve network bandwidths and empower the distribution of information resources, enabling customers with the highest quality, lowest cost network services.",,,,Software,Network Management Software,TMT,Formerly Angel backed,0.49,,,,,,2010,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,jumpedal.com,Seed,725000,
C65,Soteria AI,01/09/2025,Yes,Hong Kong,Irvine,,Private,2019,Quantum Compute,Hardware - General,Drug Discovery & Development,,,https://www.soteriaai.com/,3,"Soteria AI focuses on AI-driven business analytics and security solutions, which are tangentially related to quantum technologies due to their reliance on advanced computing and data analysis techniques.",Yes,1,"Soteria AI has been dissolved since July 2022, making it unsuitable for investment.","Developer of artificial intelligence assistant based in Hong Kong. The company offers support to gamers across online multiplayer platforms and funds research into quantum, AI platform technology, and biochemical computing.",3,"Soteria AI's research into quantum and biochemical computing indicates a focus on quantum technologies, which could intersect with life sciences applications.",N/A,,N/A,N/A,N/A,N/A,N/A,(Pre) Seed,,0.50,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer of artificial intelligence assistant based in Hong Kong. The company offers support to gamers across online multiplayer platforms and funds research into quantum, AI platform technology, and biochemical computing.",,,,Software,Entertainment Software,"Artificial Intelligence & Machine Learning, Gaming",Corporate Backed or Acquired,0.50,,,,,,2019,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,soteriaai.com,Pre Seed,400000,Right Side Capital Management
C66,SafeStamp,01/09/2025,Yes,United States,Austin,,Private,2014,Quantum Compute,Hardware - General,,,,https://safestamp.com,1,SafeStamp's technology is not directly related to quantum technology; it focuses on nanotechnology for anti-counterfeit solutions.,Yes,,,"Developer and provider of quantum nanotech indicator designed to redefine protection against counterfeit products in the pharmaceutical industry. The company's indicator works on advanced nanotechnology reaction which resists replication by counterfeiters by glowing and changing the color to orange and blue, enabling clients to detect the legitimacy of the drugs.",,,N/A,,N/A,N/A,"GoAhead Ventures, Decentralized VC (DVC), CP Ventures, Capital Factory",N/A,"Matt McGuire, Founder and CEO",(Pre) Seed,,0.50,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer and provider of quantum nanotech indicator designed to redefine protection against counterfeit products in the pharmaceutical industry. The company's indicator works on advanced nanotechnology reaction which resists replication by counterfeiters by glowing and changing the color to orange and blue, enabling clients to detect the legitimacy of the drugs.",,,,Healthcare Technology Systems,Other Healthcare Technology Systems,Nanotechnology,Venture Capital-Backed,0.50,,,,,,2014,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,safestamp.com,Seed,1442393,"CP Ventures, Stanford Angels and Entrepreneurs, Flucas Ventures, Deep Ventures, Duro, DVC"
C67,BioSimulytics,01/09/2025,Yes,Ireland,Dublin,,Private,2019,Quantum Compute,Hardware - General,Drug Discovery & Development,,,https://biosimulytics.com/,8,"BioSimulytics integrates quantum physics principles into its AI-driven platform for drug development, enhancing predictive accuracy in crystal structure prediction.",Yes,7,"As a private company with a focus on quantum-enhanced drug development, BioSimulytics presents a promising investment opportunity for a Quantum VC focused on Series A, given its innovative approach and recent funding activities.","Developer of an AI-enhanced predictive platform designed to assist pharmaceuticals with the development of drugs. The company's platform uses a combination of molecular chemistry, quantum physics, and artificial intelligence computing for crystal-structure prediction, enabling researchers to predict the stable polymorph, bringing speed, certainty, and product data quality.",9,"BioSimulytics' integration of quantum physics and AI in drug development directly addresses challenges in the pharmaceutical industry, making it highly relevant to the intersection of Quantum Technology and Life Sciences.","Finalist in the 2024 European Institute of Innovation and Technology (EIT) Awards, nominated for the EIT Innovation Team Award. ([ucd.ie](https://www.ucd.ie/innovation/news-and-events/latest-news/biosimulytics-2024-eit-awards-finalist/name%2C732273%2Cen.html?utm_source=openai))",,Winner of the 2019 UCD VentureLaunch Accelerator Programme. ([businessplus.ie](https://businessplus.ie/news/biosimulytics-is-ucd-startup-of-the-year/?utm_source=openai)),Selected as a finalist for the 2024 EIT Awards. ([ucd.ie](https://www.ucd.ie/innovation/news-and-events/latest-news/biosimulytics-2024-eit-awards-finalist/name%2C732273%2Cen.html?utm_source=openai)),N/A,N/A,"[{'Name': 'Peter F. Doyle', 'Role': 'CEO & Co-Founder', 'Description': 'Peter is a highly experienced co-founder, senior executive, and business coach in high-tech ventures across Life Sciences and other industry sectors operating across Europe, US, and Asia, including a previous IPO on LSE and NASDAQ. ([biosimulytics.com](https://biosimulytics.com/?utm_source=openai))'}, {'Name': 'Johannes Eiglsperger', 'Role': 'CTO', 'Description': 'With a PhD in Physics and a strong foundation in life science, quantum physics, and chemistry, High-Performance Computing, and AI/ML integration, Johannes leads our efforts with strategic vision and technical expertise. ([biosimulytics.com](https://biosimulytics.com/?utm_source=openai))'}, {'Name': 'Harish Jangra', 'Role': 'Computational Chemist', 'Description': 'With a PhD in Theoretical Organic Chemistry and over a decade of industry experience in predictive modelling, quantum chemistry, and pharmacoinformatics, Harish uniquely bridges scientific computing and AI to accelerate in-silico drug development methods. ([biosimulytics.com](https://biosimulytics.com/?utm_source=openai))'}, {'Name': 'Lorella Spiteri', 'Role': 'Computational Chemist', 'Description': 'Lorella holds a PhD in Computational Crystallography and brings deep expertise in molecular modelling, with a focus on polymorphism and co-crystallization in pharmaceutical compounds. ([biosimulytics.com](https://biosimulytics.com/?utm_source=openai))'}, {'Name': 'Christian Burnham', 'Role': 'Head of R&D & Co-Founder', 'Description': ""Christian is a physics graduate from Imperial College in London with extensive scientific research and publications in the field of molecular simulation working in the US and the original lead developer of the company's core technology. ([biosimulytics.com](https://biosimulytics.com/?utm_source=openai))""}, {'Name': 'Hugo Rossignol', 'Role': 'Computational Scientist', 'Description': 'Hugo holds a PhD in Computational Physics from Trinity College Dublin and brings strong expertise in electronic structure modelling, machine learning, and high-performance computing. ([biosimulytics.com](https://biosimulytics.com/?utm_source=openai))'}, {'Name': 'Jarlath Dolan', 'Role': 'Software Engineer', 'Description': 'With a Masters in Electronic Engineering from University College Dublin, Jarlath also brings years of multinational industry experience in high-performance software development and quality assurance for advanced hardware systems. ([biosimulytics.com](https://biosimulytics.com/?utm_source=openai))'}, {'Name': 'Niall English', 'Role': 'CSO & Co-Founder', 'Description': 'Niall is a Full Professor in Chemical Engineering with previous industrial experience working in molecular simulation and drug design in both the US and UK. ([biosimulytics.com](https://biosimulytics.com/?utm_source=openai))'}, {'Name': 'Claire Costello', 'Role': 'Head of Finance', 'Description': 'Claire is a Chartered Accountant with over 12 years’ experience in financial management, client strategy, and operational leadership, supporting strong commercial decisions and scalable growth across diverse sectors. ([biosimulytics.com](https://biosimulytics.com/?utm_source=openai))'}, {'Name': 'Petro Visage', 'Role': 'Business Development Associate', 'Description': 'Petro is a Global Business Foundation Scholar from Trinity College Dublin, bringing expertise in strategic communications, PR, and brand development together with high levels of energy, passion and creativity for sharing our vision. ([biosimulytics.com](https://biosimulytics.com/?utm_source=openai))'}]",(Pre) Seed,,0.51,<10M USD,,No,,,,,,,,,,,,,,,,,,Yes,Yes,"Developer of an AI-enhanced predictive platform designed to assist pharmaceuticals with the development of drugs. The company's platform uses a combination of molecular chemistry, quantum physics, and artificial intelligence computing for crystal-structure prediction, enabling researchers to predict the stable polymorph, bringing speed, certainty, and product data quality.",,,,Healthcare Technology Systems,Other Healthcare Technology Systems,"Artificial Intelligence & Machine Learning, HealthTech",Venture Capital-Backed,0.51,Privately Held (backing),biosimulytics.com,http://www.linkedin.com/company/biosimulytics,8,"2021: 7, 2023: 2, 2024: 4, 2025: 8",2019,Ireland,"ai in healthcare, artificial intelligence in healthcare, drug development, drug development research, molecular modelling, pharmaceutical manufacturing, predictive platform",Generating Revenue,,,,Dublin,"The company is in the process of raising EUR 5 million of seed funding from European Investment Bank and other undisclosed investors on January 20, 2025. Previously, the company joined EIT Digital in 2024. The company is being actively tracked by PitchBook.",,Niall English,Co-Founder & CSO,"EIT Digital, Enterprise Ireland, European Innovation Council, European Investment Bank, Horizon 2020, Horizon Europe, NovaUCD",,28-Nov-2019,,,,,,,,,,,,,,,biosimulytics.ai,Grant,2499525,"EIC Accelerator, Enterprise Ireland"
C68,Healthy Photon,01/09/2025,Yes,China,Ningbo,,Private,2014,Quantum Compute,Hardware - Photonic,Diagnostics,,,https://en.healthyphoton.com,7,"Healthy Photon specializes in mid and far-infrared laser spectroscopy technology, which is closely related to quantum sensing applications due to its focus on precise molecular analysis and detection.",Yes,7,"As a private company specializing in quantum-related hardware with a focus on environmental monitoring and industrial applications, Healthy Photon is a suitable candidate for a Quantum VC focused on Series A investments.","Developer of trace gas sensors designed to focus on the mid and far-infrared laser spectroscopy technology. The company utilizes laser spectroscopy technology to offer products including portable laser analyzers for ultra-sensitive ammonia monitoring, mini quantum cascade laser heads, amplifiers, integrated controllers and other related products for applications in environmental monitoring, industrial process control, as well as scientific and biomedical industries.",4,QCL/TDLAS gas analyzers; enabling components for breath/gas bio-markers but not a quantum-LS specialist. ,N/A,,N/A,N/A,N/A,N/A,N/A,(Pre) Seed,,0.58,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer of trace gas sensors designed to focus on the mid and far-infrared laser spectroscopy technology. The company utilizes laser spectroscopy technology to offer products including portable laser analyzers for ultra-sensitive ammonia monitoring, mini quantum cascade laser heads, amplifiers, integrated controllers and other related products for applications in environmental monitoring, industrial process control, as well as scientific and biomedical industries.",,,,Computer Hardware,Electronic Equipment and Instruments,,Venture Capital-Backed,0.58,,,,,,2014,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,healthyphoton.com,SPINOUT,0,Princeton University
C69,Foqus,01/09/2025,Yes,Canada,Toronto,,Private,2021,Quantum Compute,Hardware - General,Medical Imaging,,,https://foqus.ca/,9,"Foqus leverages quantum information algorithms to enhance magnetic resonance imaging, positioning it closely within the quantum technology sector.",Yes,,,"Developer of a medical imaging system designed to provide higher-resolution medical images by using magnetic resonance technology. The company's system utilizes quantum information algorithms and machine learning techniques to enhance the sensitivity of magnetic resonance technology, enabling healthcare organizations and other medical professionals to scan quickly and generate a visible signal at a lower cost.",7,MRI acceleration via quantum/ML algorithms (Waterloo spinoff support); direct medical-imaging focus. ,N/A,,"Creative Destruction Lab (Quantum stream, 2020/21), Velocity incubator",N/A,"Centre for Aging+Brain Health Innovation, Quantonation",N/A,"Sadegh Raeisi (CEO), Janet Chen (Business Manager)",(Pre) Seed,,,<10M USD,,No,,,,,,,,,,,,,,,,,,Yes,Yes,"Developer of a medical imaging system designed to provide higher-resolution medical images by using magnetic resonance technology. The company's system utilizes quantum information algorithms and machine learning techniques to enhance the sensitivity of magnetic resonance technology, enabling healthcare organizations and other medical professionals to scan quickly and generate a visible signal at a lower cost.",,,,Healthcare Technology Systems,Other Healthcare Technology Systems,"Artificial Intelligence & Machine Learning, Big Data, HealthTech",Venture Capital-Backed,,Privately Held (backing),www.foqus.ca,http://www.linkedin.com/company/foqus-tech,5,"2022: 3, 2023: 6, 2024: 7, 2025: 5",2021,Canada,"imaging data, magnetic resonance imaging, magnetic resonance technology, medical imaging, quantum technology, resonance technology",Generating Revenue,,,,Toronto,"The company joined Ontario Brain Institute on September 19, 2023 and received CAD 250,000 in funding.",,Sadegh Raeisi,Co-Founder & Chief Executive Officer,"Audacia, CABHI, Creative Destruction Lab, Google for Startups, MK Venture Capital, Nventure, Ontario Brain Institute, Quantonation, The Accelerator Centre, Velocity (University of Waterloo)",,01-Jan-2020,,,,,,,,,,,,,,,foqusstore.com,,,
C70,Suna Optoelectronics,01/09/2025,Yes,China,Suzhou,,Private,2014,Quantum Compute,Hardware - General,,,,https://en.suna-opto.com/,3,"Suna Optoelectronics specializes in optoelectronic devices and materials for optical communication, monitoring, measurement, infrared illumination, and anti-counterfeiting fields. While their products are integral to optical communication systems, they do not directly involve quantum technologies, placing them at a low adjacency to quantum technology.",Yes,,,"Manufacturer of optoelectronic devices and materials for optical communication, monitoring and measurement, infrared illumination and anti-counterfeiting fields. The company's main products include InGaAsF-P lasers, near-infrared FP/DFB lasers, vertical cavity surface emitting lasers; Si-based PD/APD, wide-bandgap GaN, AllnN/Gan quantum structures etc. The company also focuses on research and development to innovate on their product offerings, enabling their customers to enjoy better performance and lower priced chip products and services.",,,N/A,,N/A,"Suna Optoelectronics has shipped over 100 million silicon lens chips, becoming a global leader in optical communications. The company has established stable cooperative relationships with more than 90% of the world's optical module companies, and its products are widely used in a full range of optical modules from 100G to 1.6T. ([redplanx.com](https://www.redplanx.com/html/news/1283749.html?utm_source=openai))",N/A,N/A,N/A,Series A,30,30.00,Between 10 and 50M USD,,No,,,,,,,,,,,,,,,,,,,,"Manufacturer of optoelectronic devices and materials for optical communication, monitoring and measurement, infrared illumination and anti-counterfeiting fields. The company's main products include InGaAsF-P lasers, near-infrared FP/DFB lasers, vertical cavity surface emitting lasers; Si-based PD/APD, wide-bandgap GaN, AllnN/Gan quantum structures etc. The company also focuses on research and development to innovate on their product offerings, enabling their customers to enjoy better performance and lower priced chip products and services.",,,,Semiconductors,Application Specific Semiconductors,Manufacturing,Venture Capital-Backed,0.59,,,,,,2014,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,suna-opto.com,Series Unknown,0,CASH Capital
C71,Phaseshift Technologies,01/09/2025,Yes,Canada,Toronto,,Private,2019,Quantum Compute,Hardware - General,Not Life Sciences,,,https://phaseshift.ai,1,"Phaseshift Technologies specializes in developing advanced materials using AI, which is not directly related to quantum technology.",Yes,1,"As a Series A-focused Quantum VC, investing in a company with a low Quantum Adjacency Score and a primary focus on AI-driven materials science may not align with our strategic interests.","Developer of a data-driven platform designed to accelerate the design and development of alloys for manufacturing processes. The company's artificial intelligence-based framework guides the design of new materials and reduces the number of experiments required to reach a target material candidate, enabling clients to generate synthetic data to address data scarcity problems in the field of materials science.",1,The company's focus on AI-driven materials science does not intersect with quantum technology applications in life sciences.,N/A,,N/A,Phaseshift Technologies Closes US $3 (CA $4.1) Million Seed Financing to Design Next-Generation Materials Using A.I. | Business Wire,"Innospark Ventures, Draper Associates, First Star Ventures",Matt Fates,"Fazal Mahmood (CEO), Dr. Gurjot Dhaliwal (CTO), Dr. Abu Anand (CSO)",(Pre) Seed,3,3.00,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer of a data-driven platform designed to accelerate the design and development of alloys for manufacturing processes. The company's artificial intelligence-based framework guides the design of new materials and reduces the number of experiments required to reach a target material candidate, enabling clients to generate synthetic data to address data scarcity problems in the field of materials science.",,,,Software,Business/Productivity Software,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data",Venture Capital-Backed,0.62,,,,,,2019,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,phaseshift.ca,SEED,,
C72,KWAN-TEK,01/09/2025,Yes,France,Ploemeur,,Private,2020,Quantum Compute,Hardware - Diamond NV,Diagnostics,,,https://www.kwan-tek.com/,9,"KWAN-TEK specializes in quantum sensing technologies, particularly utilizing Nitrogen-Vacancy (NV) centers in diamonds, which are central to quantum metrology applications.",Yes,7,"As a private company specializing in quantum sensing technologies, KWAN-TEK is suitable for Series A investment, focusing on quantum metrology applications.","Provider of cutting-edge quantum sensors designed to enhance the accuracy and capabilities of environmental monitoring and diagnostics. The company offers advanced quantum sensors harnessing Nitrogen-Vacancy (NV) centered sensor cores for the discerning needs of diamond-based centers, revolutionizing data insights through sophisticated mathematical modeling and inversion algorithms, enabling precision in the realm of environmental science and diagnostics.",7,"While KWAN-TEK's primary focus is on quantum sensing for environmental and industrial applications, their technology has potential applications in life sciences, particularly in diagnostics and non-destructive testing.",i-Lab 2021 Innovation Contest Winner,,Techinnov France 2030,Acquired by Breizh Rebond and SFLD in October 2023; previously entered judicial administration in June 2023,"Breizh Rebond, Société Financière Lorient Développement (SFLD)",,"[{'Name': 'Rémi Geiger', 'Role': 'Co-founder and CEO', 'Background': 'Doctorate in atomic physics, former lecturer at Sorbonne University, researcher at the SYRTE Observatory in Paris, and post-doctoral researcher at the University of Vienna'}]",Series A,2.2,2.20,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Provider of cutting-edge quantum sensors designed to enhance the accuracy and capabilities of environmental monitoring and diagnostics. The company offers advanced quantum sensors harnessing Nitrogen-Vacancy (NV) centered sensor cores for the discerning needs of diamond-based centers, revolutionizing data insights through sophisticated mathematical modeling and inversion algorithms, enabling precision in the realm of environmental science and diagnostics.",,,,Commercial Products,Other Commercial Products,,Private Equity-Backed,0.67,,,,,,2020,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,wainvam-e.com,PRE_SEED,,
C73,Adamant Quanta,01/09/2025,Yes,Sweden,Lund,,Private,2022,Quantum Compute,Hardware - General,Not Life Sciences,,,https://www.adamantq.com/,9,"Adamant Quanta specializes in diamond-based quantum technology for time-keeping, detection, and sensing, placing them at the forefront of quantum technology applications.",Yes,7,"As a private company with a focus on quantum technology, Adamant Quanta is suitable for Series A investment, though its small team size and recent funding round may indicate early-stage development.","Developer of diamond-based quantum technology designed for time-keeping, detection, and sensing. The company's technology includes diamond-based IC microchips which provide vector field sensing, atomic clock accuracy, solid-state system, and radiation detection, allowing industries to have a cost- and energy-efficient quantum technology.",3,"While Adamant Quanta's technology is primarily focused on quantum computing and sensing, its applications in precise timing and detection could have potential intersections with life sciences, such as in medical imaging or diagnostics.",N/A,,N/A,Adamant Quanta closes SEK 9.2 million financing round to deliver breakthrough diamond-based atomic clocks,"Industrifonden, Almi Invest, Navigare Ventures",N/A,Haitham El-Ella (CEO),(Pre) Seed,1,1.00,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer of diamond-based quantum technology designed for time-keeping, detection, and sensing. The company's technology includes diamond-based IC microchips which provide vector field sensing, atomic clock accuracy, solid-state system, and radiation detection, allowing industries to have a cost- and energy-efficient quantum technology.",,,,Software,Business/Productivity Software,Space Technology,Venture Capital-Backed,0.68,,,,,,2022,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,adamantq.com,PRE_SEED,9200000,"Almi Invest, Industrifonden, Navigare Ventures, Almi Företagspartner, Medicon Village"
C74,QSpace Technologies,01/09/2025,Yes,Russia,Moscow,,Private,2021,Quantum Compute,Hardware - General,Not Life Sciences,,,,9,"QSpace Technologies specializes in quantum satellite communication systems, directly involving quantum key distribution (QKD) technology for secure data transmission, placing them at the forefront of quantum technology applications.",Yes,7,"As a private company specializing in quantum satellite communication systems, QSpace Technologies is well-positioned for Series A investment, with a focus on developing secure data transmission technologies.","Developer of quantum satellite communication systems based in Moscow, Russia. The company offers satellite systems based on small spacecraft and quantum key distribution technology which is used in modern telecommunications to transmit confidential data or via fiber optic cable, thereby allowing businesses to procure a solution to the problem of limited range using the satellite as a trusted node.",2,"While QSpace Technologies' focus is on quantum communication systems, their technology could have applications in secure data transmission for life sciences, but this is not their primary focus.",N/A,,N/A,"QSpace Technologies raised $900,000 from Gazprombank in January 2022 to develop a small CubeSat satellite with a quantum key distribution system transmitter on board, with the launch scheduled for 2023. ([ict.moscow](https://ict.moscow/en/news/quantum-satellites-developer-qspace-technologies-raised-investments-from-gazprombank/?utm_source=openai))",Gazprombank,N/A,"Yuri Pozdnyakov, General Director",(Pre) Seed,0.9,0.90,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer of quantum satellite communication systems based in Moscow, Russia. The company offers satellite systems based on small spacecraft and quantum key distribution technology which is used in modern telecommunications to transmit confidential data or via fiber optic cable, thereby allowing businesses to procure a solution to the problem of limited range using the satellite as a trusted node.",,,,Commercial Products,Aerospace and Defense,Space Technology,Corporate Backed or Acquired,0.69,,,,,,2021,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,thequantuminsider.com,Seed,1500000,
C75,Allosteric Bioscience,01/09/2025,Yes,United States,New York City,,Private,2021,Quantum Compute,Hardware - General,Drug Discovery & Development,,,,9,"Allosteric Bioscience integrates quantum computing and advanced AI with biomedical sciences to develop treatments for aging and longevity, indicating a high relevance to quantum technology.",Yes,,,"Operator of a biomedical sciences company intended to create treatments for aging and longevity. The company's platform utilizes quantum computing and artificial intelligence for genetics, genomics, system biology, epigenetics, systems biology, proteomics, and other disciplines, helping clinicians regulate and improve aging.",,,N/A,,N/A,"Allosteric Bioscience, Inc. Licenses Sarcopenia (Muscle Loss) Prevention/Treatment Technology from Johns Hopkins University",N/A,N/A,"Dr. Arthur P. Bollon, President and Co-Founder; Dr. Barbara Slusher, Director of Johns Hopkins Drug Discovery",(Pre) Seed,,0.69,<10M USD,,No,,,,,,,,,,,,,,,,,,Yes,Yes,"Operator of a biomedical sciences company intended to create treatments for aging and longevity. The company's platform utilizes quantum computing and artificial intelligence for genetics, genomics, system biology, epigenetics, systems biology, proteomics, and other disciplines, helping clinicians regulate and improve aging.",,,,Healthcare Technology Systems,Other Healthcare Technology Systems,"Artificial Intelligence & Machine Learning, Life Sciences",Venture Capital-Backed,0.69,Privately Held (backing),www.allostericbioscience.com,,,,2021,United States,"biomedical company, biomedical engineering, biomedical research, biomedical therapy, molecular biology, quantum computing system",Generating Revenue,,,,New York,"The company raised $920,000 of Series A venture funding from undisclosed investors on December 15, 2021, putting the company's pre-money valuation at $6.08 million.",,Bruce Meyers,Co-Founder & Executive Chairman,,,15-Dec-2021,,,,,,,,,,,,,,,allostericbioscience.com,SERIES_A,920000,
